English,fa
star,ستاره
deep sky object,جرم عمیق آسمانی
open cluster,خوشه باز
globular cluster,خوشه کروی
nebula,سحابی
galaxy,کهکشان
dark nebula,سحابی تاریک
association of stars,انجمن ستارگان
double star,ستاره دوتایی
emission nebula,سحابی گسیلی
galaxy pair,جفت کهکشان
galaxy triplet,سه‌گانه کهکشانی
galaxy cluster,خوشه کهکشانی
group of galaxies,گروه کهکشان‌ها
hii ionized region,ناحیه یونیزه هیدروژن
nova star,ستاره نوا
planetary nebula,سحابی سیاره‌ای
reflection nebula,سحابی بازتابی
star cluster nebula,سحابی خوشه ستاره‌ای
supernova remnant,بقایای ابرنواختر
unknown,ناشناخته
Mercury,تیر
Venus,ناهید
Mars,بهرام
Jupiter,مشتری
Saturn,کیوان
Uranus,اورانوس
Neptune,نپتون
Pluto,پلوتون
Sun,خورشید
Moon,ماه
North,شمال
East,شرق
South,جنوب
West,غرب
Ecliptic,دایره البروج
Celestial Equator,استوای آسمانی
N (abbreviation for north),ش
E (abbreviation for east),ق
S (abbreviation for south),ج
W (abbreviation for west),غ
Milky Way,کهکشان راه شیری
