English,zh-CN
star,恒星
deep sky object,深空天体
open cluster,疏散星团
globular cluster,球状星团
nebula,星云
galaxy,星系
dark nebula,暗星云
association of stars,星协
double star,双星
emission nebula,发射星云
galaxy pair,星系对
galaxy triplet,三重星系
galaxy cluster,星系团
group of galaxies,星系群
hii ionized region,HII电离氢区
nova star,新星
planetary nebula,行星状星云
reflection nebula,反射星云
star cluster nebula,星团星云
supernova remnant,超新星遗迹
unknown,未知天体
Mercury,水星
Venus,金星
Mars,火星
Jupiter,木星
Saturn,土星
Uranus,天王星
Neptune,海王星
Pluto,冥王星
Sun,太阳
Moon,月球
North,北
East,东
South,南
West,西
Ecliptic,黄道
Celestial Equator,天赤道
N (abbreviation for north),北
E (abbreviation for east),东
S (abbreviation for south),南
W (abbreviation for west),西
Milky Way,银河
