English,Italian
star,stella
deep sky object,oggetto del profondo cielo
open cluster,ammasso aperto
globular cluster,ammasso globulare
nebula,nebulosa
galaxy,galassia
dark nebula,nebulosa oscura
association of stars,ammasso stellare
double star,stella doppia
emission nebula,nebulosa a emissione
galaxy pair,coppia di galassie
galaxy triplet,trio di galassie
galaxy cluster,ammasso di galassie
group of galaxies,gruppo di galassie
hii ionized region,regione hii
nova star,nova
planetary nebula,nebulosa planetaria
reflection nebula,nebulosa a riflessione
star cluster nebula,nebulosa di ammasso stellare
supernova remnant,resto di supernova
unknown,sconosciuto
Mercury,Mercurio
Venus,Venere
Mars,Marte
Jupiter,Giove
Saturn,Saturno
Uranus,Uranuo
Neptune,Nettuno
Pluto,Plutone
Sun,Sole
Moon,Luna
North,Nord
East,Est
South,Sud
West,Ovest
Ecliptic,Eclittica
Celestial Equator,Equatore celeste
N (abbreviation for north),N
E (abbreviation for east),E
S (abbreviation for south),S
W (abbreviation for west),O
Milky Way,Via Lattea
