English,zh-CN
star,恆星
deep sky object,深空天體
open cluster,疏散星團
globular cluster,球狀星團
nebula,星雲
galaxy,星系
dark nebula,暗星雲
association of stars,星協
double star,雙星
emission nebula,發射星雲
galaxy pair,星系對
galaxy triplet,三重星系
galaxy cluster,星系團
group of galaxies,星系群
hii ionized region,HII電離氫區
nova star,新星
planetary nebula,行星狀星雲
reflection nebula,反射星雲
star cluster nebula,星團星雲
supernova remnant,超新星遺蹟
unknown,未知天體
Mercury,水星
Venus,金星
Mars,火星
Jupiter,木星
Saturn,土星
Uranus,天王星
Neptune,海王星
Pluto,冥王星
Sun,太陽
Moon,月球
North,北
East,東
South,南
West,西
Ecliptic,黃道
Celestial Equator,天赤道
N (abbreviation for north),北
E (abbreviation for east),東
S (abbreviation for south),南
W (abbreviation for west),西
Milky Way,銀河
