iau_id,English,French,Farsi,zh-CN
and,Andromeda,Andromède,,仙女
ant,Antlia,Machine pneumatique,,唧筒
aps,Apus,Oiseau de paradis,,天燕
aql,Aquila,Aigle,,天鹰
aqr,Aquarius,Verseau,,宝瓶
ara,Ara,Autel,,天坛
ari,Aries,Bélier,,白羊
aur,Auriga,Cocher,,御夫
boo,Bootes,Bouvier,,牧夫
cae,Caelum,Burin,,大犬
cam,Camelopardalis,Girafe,,小犬
cap,Capricornus,Capricorne,,猎犬
car,Carina,Carène,,雕具
cas,Cassiopeia,Cassiopée,,鹿豹
cen,Centaurus,Centaure,,摩羯
cep,Cepheus,Céphée,,船底
cet,Cetus,Baleine,,仙后
cha,Chamaeleon,Caméléon,,半人马
cir,Circinus,Compas,,仙王
cma,Canis Major,Grand chien,,鲸鱼
cmi,Canis Minor,Petit chien,,蝘蜓
cnc,Cancer,Cancer,,圆规
col,Columba,Colombe,,巨蟹
com,Coma Berenices,Chevelure de Bérénice,,天鸽
cra,Corona Australis,Couronne australe,,后发
crb,Corona Borealis,Couronne boréale,,南冕
crt,Crater,Coupe,,北冕
cru,Crux,Croix du Sud,,巨爵
crv,Corvus,Corbeau,,南十字
cvn,Canes Venatici,Chiens de chasse,,乌鸦
cyg,Cygnus,Cygne,,天鹅
del,Delphinus,Dauphin,,海豚
dor,Dorado,Dorade,,剑鱼
dra,Draco,Dragon,,天龙
equ,Equuleus,Petit cheval,,小马
eri,Eridanus,Éridan,,波江
for,Fornax,Fourneau,,天炉
gem,Gemini,Gémeaux,,双子
gru,Grus,Grue,,天鹤
her,Hercules,Hercule,,武仙
hor,Horologium,Horloge,,时钟
hya,Hydra,Hydre femelle,,长蛇
hyi,Hydrus,Hydre mâle,,水蛇
ind,Indus,Indien (Oiseau),,印第安
lac,Lacerta,Lézard,,小狮
leo,Leo,Lion,,蝎虎
lep,Lepus,Lièvre,,狮子
lib,Libra,Balance,,天兔
lmi,Leo Minor,Petit Lion,,天秤
lup,Lupus,Loup,,豺狼
lyn,Lynx,Lynx,,天猫
lyr,Lyra,Lyre,,天琴
men,Mensa,Table,,山案
mic,Microscopium,Microscope,,显微镜
mon,Monoceros,Licorne,,麒麟
mus,Musca,Mouche,,苍蝇
nor,Norma,Règle,,矩尺
oct,Octans,Octant,,南极
oph,Ophiuchus,Serpentaire,,蛇夫
ori,Orion,Orion,,猎户
pav,Pavo,Paon,,孔雀
peg,Pegasus,Pégase,,飞马
per,Perseus,Persée,,英仙
phe,Phoenix,Phénix,,凤凰
pic,Pictor,Peintre (Chevalet du),,绘架
psa,Piscis Austrinus,Poisson austral,,南鱼
psc,Pisces,Poissons,,双鱼
pup,Puppis,Poupe,,船尾
pyx,Pyxis,Boussole,,罗盘
ret,Reticulum,Réticule,,网罟
scl,Sculptor,Sculpteur (Atelier du),,玉夫
sco,Scorpius,Scorpion,,天蝎
sct,Scutum,Écu (de Sobieski),,盾牌
ser1,Serpens Caput,Serpent (la tête),,巨蛇头
ser2,Serpens Cauda,Serpent (la queue),,巨蛇尾
sex,Sextans,Sextant,,六分仪
sge,Sagitta,Flèche,,天箭
sgr,Sagittarius,Sagitaire,,人马
tau,Taurus,Taureau,,金牛
tel,Telescopium,Télescope,,望远镜
tra,Triangulum Australe,Triangle austral,,南三角
tri,Triangulum,Triangle,,三角
tuc,Tucana,Toucan,,杜鹃
uma,Ursa Major,Grande Ourse,,大熊
umi,Ursa Minor,Petite Ourse,,小熊
vel,Vela,Voiles,,船帆
vir,Virgo,Vierge,,室女
vol,Volans,Poisson volant,,飞鱼
vul,Vulpecula,Petit Renard,,狐狸
