English,Dutch
star,ster
deep sky object,deep-sky object
open cluster,open sterrenhoop
globular cluster,bolvormige sterrenhoop
nebula,nevel
galaxy,sterrenstelsel
dark nebula,donkere nevel
association of stars,stellaire associatie
double star,dubbelster
emission nebula,emissienevel
galaxy pair,sterrenstelselpaar
galaxy triplet,sterrenstelseltriplet
galaxy cluster,cluster van sterrenstelsels
group of galaxies,groep sterrenstelsels
hii ionized region,hii geïoniseerde regio
nova star,nova ster
planetary nebula,planetaire nevel
reflection nebula,reflectienevel
star cluster nebula,sterrenhoopnevel
supernova remnant,supernova restant
unknown,onbekend
Mercury,Mercurius
Venus,Venus
Mars,Mars
Jupiter,Jupiter
Saturn,Saturnus
Uranus,Uranus
Neptune,Neptunus
Pluto,Pluto
Sun,Zon
Moon,Maan
North,Noord
East,Oost
South,Zuid
West,West
Ecliptic,Ecliptica
Celestial Equator,Hemelevenaar
N (abbreviation for north),N
E (abbreviation for east),O
S (abbreviation for south),Z
W (abbreviation for west),W
Milky Way,Melkweg
